term,definition
MRI,"A magnetic resonance imaging scan that uses strong magnetic fields to produce detailed images of organs and tissues."
CT Scan,"A computed tomography scan combines a series of X-ray images taken from different angles to create cross-sectional views."
X-ray,"A diagnostic tool that uses radiation to view internal structures of the body, especially bones."
Ultrasound,"A technique that uses high-frequency sound waves to produce images of structures within your body."
PET Scan,"A positron emission tomography scan is an imaging test that helps reveal how tissues and organs are functioning."
EKG,"A test that measures the electrical activity of the heartbeat."
EEG,"A test used to evaluate the electrical activity in the brain."
Biopsy,"A procedure to remove a piece of tissue or a sample of cells from your body so that it can be analyzed."
Endoscopy,"A nonsurgical procedure used to examine a person's digestive tract using an endoscope."
Blood Test,"A lab analysis performed on a blood sample used to check for diseases, conditions, and overall health."
